Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
World,GCP,Total fossil fuels and cement,CO2,MtCO₂e,36572.75,35810.5,35379.68,35238.64,35224.84,34959.43,34793.09,34271.54,33151.19,31532.27,31994.4,31282.14,30375.68,29401.1,28444.36,27167.96,25919.41,25364.48,25154.36,24456.52,24149.84,24236.89,24099.56,23371.56,22877.82,22716.35,22466.43,23190.95,22717.54,22230.68,21900.71,21093.83,20431.44,20144.61,19451.68,18901.65,18724.15,18864.18,19390.72,19483.85,18977.77,18307.06,17817.88,16920.21,16941.69,17015.25,16156.7,15439.07,14839.66,13704.62,12848.83,12183.84,11805.98,11281.38,10780.61,10247.5,9698.23,9365.86,9344.02
China,GCP,Total fossil fuels and cement,CO2,MtCO₂e,10064.69,9838.75,9704.48,9716.47,9820.36,9796.53,9633.9,9388.2,8500.54,7758.81,7375.19,6861.75,6377.75,5771.17,5125.89,4452.31,3782.44,3426.14,3349.29,3258.13,3265.9,3414.55,3408.35,3265.06,3010.24,2835.8,2657.11,2538.92,2420.3,2386.89,2347.76,2191.05,2052.24,1951.77,1802.32,1655.81,1570.47,1442.78,1458.89,1487.11,1455.26,1304.4,1190.96,1142.1,985.09,965.65,928.89,874.02,770.17,575.94,467.81,432.22,521.46,474.68,435.7,435.52,439.34,550.96,778.98
United States,GCP,Total fossil fuels and cement,CO2,MtCO₂e,5416.28,5270.75,5306.66,5422.97,5572.11,5522.91,5371.78,5572.58,5700.11,5493.55,5928.26,6127.89,6050.38,6130.55,6105.44,5991.19,5942.42,5899.86,5997.3,5829.52,5749.89,5701.92,5625.04,5436.7,5375.03,5281.39,5174.67,5071.56,5121.18,4948.02,4885.59,4680.83,4487.86,4484.34,4468.26,4335.92,4301.97,4530.37,4716.72,4894.04,4882.96,4735.37,4607.17,4400.8,4592.96,4762.45,4558.45,4351.31,4325.5,4021.5,3828.31,3693.3,3559.18,3388.19,3252.76,3116.02,2984.0,2877.37,2887.82
European Union (28),GCP,Total fossil fuels and cement,CO2,MtCO₂e,3444.88,3518.04,3500.03,3517.15,3483.41,3652.81,3740.14,3798.92,3943.71,3827.46,4164.66,4263.56,4313.61,4309.12,4332.43,4322.75,4232.5,4254.37,4183.51,4161.58,4227.27,4234.26,4322.15,4218.82,4173.39,4191.48,4273.95,4418.9,4471.35,4395.39,4344.14,4388.32,4351.59,4352.21,4264.63,4251.47,4294.46,4397.72,4628.74,4733.8,4564.52,4431.36,4472.88,4184.99,4286.27,4348.11,4152.92,4037.95,3946.67,3775.06,3551.61,3365.29,3329.72,3274.33,3216.04,3100.61,2902.39,2743.36,2649.01
India,GCP,Total fossil fuels and cement,CO2,MtCO₂e,2654.1,2456.95,2371.75,2298.17,2199.4,1994.1,1979.05,1811.96,1700.03,1720.12,1547.99,1390.25,1287.15,1210.15,1145.55,1091.87,1047.6,1035.64,1029.64,995.23,933.55,915.05,878.83,811.46,764.24,722.89,698.76,656.74,616.58,576.4,525.08,486.07,455.07,424.26,385.93,376.68,347.82,337.11,312.48,295.3,281.54,277.65,262.53,251.19,231.18,223.6,217.18,205.33,194.73,190.4,187.1,172.09,171.69,165.96,150.64,154.07,143.45,130.39,120.58
Russia,GCP,Total fossil fuels and cement,CO2,MtCO₂e,1710.69,1647.04,1617.65,1622.5,1617.68,1618.43,1679.39,1667.03,1613.52,1529.23,1637.2,1604.78,1606.72,1547.69,1530.78,1525.64,1495.71,1507.72,1471.23,1486.25,1458.3,1475.29,1580.3,1613.08,1641.54,1859.65,1957.86,2396.19,2525.5,2359.46,2413.51,2350.77,2360.49,2354.51,2183.25,2164.1,2133.88,2094.44,2135.15,2054.33,2037.48,1969.85,1905.09,1834.5,1745.27,1681.27,1613.17,1533.26,1444.93,1373.75,1319.13,1283.13,1227.16,1162.05,1095.47,1030.12,960.61,915.34,887.67
Japan,GCP,Total fossil fuels and cement,CO2,MtCO₂e,1161.98,1188.12,1206.17,1224.54,1264.88,1315.08,1305.89,1264.52,1214.42,1162.96,1232.23,1302.89,1267.16,1290.31,1283.04,1287.78,1279.56,1250.34,1264.98,1242.19,1205.59,1245.32,1252.07,1240.0,1227.64,1172.72,1179.75,1170.05,1158.51,1021.68,985.47,902.53,912.26,912.4,937.07,880.91,897.41,926.84,944.87,953.07,901.59,933.24,907.15,868.51,914.31,914.27,852.17,796.54,767.96,653.22,561.91,489.31,419.25,386.47,358.89,324.84,292.86,282.79,232.5
Germany,GCP,Total fossil fuels and cement,CO2,MtCO₂e,759.0,797.97,801.65,795.94,792.79,831.57,814.14,809.75,832.39,788.92,853.77,851.42,878.08,866.64,887.46,901.41,900.39,916.91,900.38,896.31,923.82,931.75,959.61,939.54,939.91,956.52,966.18,1014.44,1052.52,1008.78,1029.01,1032.43,1047.46,1044.11,1033.24,1011.6,1015.73,1048.52,1100.06,1117.88,1079.13,1052.6,1090.84,1002.44,1062.72,1085.74,1041.48,1037.24,1026.02,1052.0,984.79,936.23,951.42,960.1,968.92,945.5,883.17,834.84,813.95
Iran,GCP,Total fossil fuels and cement,CO2,MtCO₂e,720.41,685.94,652.97,640.81,641.92,608.71,600.68,579.04,564.03,546.89,534.91,513.31,503.79,463.53,442.09,413.99,397.8,394.93,369.26,379.63,306.01,267.1,274.01,271.15,263.52,235.58,226.96,225.95,209.24,190.1,175.11,158.61,147.54,159.95,149.94,149.21,137.52,112.53,120.56,163.67,162.1,163.73,156.46,139.21,143.78,129.48,106.02,101.63,91.79,83.04,82.33,67.88,64.1,53.72,47.52,41.3,37.43,36.51,37.36
South Korea,GCP,Total fossil fuels and cement,CO2,MtCO₂e,658.79,640.59,617.96,595.39,586.55,591.54,583.63,588.4,565.96,506.76,505.78,493.35,465.61,459.34,478.61,462.41,463.63,448.55,445.44,398.33,363.55,427.79,401.53,373.99,344.26,321.84,282.19,262.04,247.44,236.25,222.31,192.94,182.67,178.48,164.05,151.04,141.98,139.78,134.89,133.22,113.4,105.69,93.27,81.78,75.63,73.03,60.28,58.55,53.72,42.47,37.2,35.11,29.98,24.98,22.2,21.08,17.26,14.45,12.54
